Bin	Sequences	Proportion	Patterns	Percent Full
other	9999.0	0.9999	264	100.0%
untileable_sequences	1.0	0.0001	0	0.0%
Totals	10000.0	1.0	264


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
other	9999.0	0.9999	264	1.0
Subclassification	Sequence Count	Repeats	Proportion of other	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2865](+) Payload[1-2849](+) polyG[56-None](+) Payload[2844-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2865](+) Payload[1-2760](+) polyC[63-None](+) Payload[2751-2865](+) Payload[5-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2865](+) Payload[1-2749](+) polyT[1167-None](+) Payload[2744-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2865](+) Payload[1-2535](+) polyA[72-None](+) Payload[2526-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2865](+) Payload[1-2212](+) polyT[152-None](+) Payload[2210-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2865](+) Payload[1-1908](+) polyT[116-None](+) Payload[1903-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2865](+) Payload[1-1896](+) polyG[124-None](+) Payload[1895-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P P	Payload[1-2865](+) Payload[1-1588](+) Payload[1660-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2865](+) Payload[1-1403](+) polyG[102-None](+) Payload[1393-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2865](+) Payload[1-1191](+) polyA[85-None](+) Payload[1189-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2865](+) Payload[1-1011](+) polyG[72-None](+) Payload[990-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[1-2864](+) Payload[5-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[1-2864](+) Payload[1-2865](+) Payload[1-2864](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[1-2863](+) Payload[5-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[1-2862](+) Payload[5-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[1-2859](+) Payload[1-2865](+) Payload[4-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[1-2858](+) Payload[1-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2720](+) polyT[216-None](+) Payload[2719-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2683](+) polyA[81-None](+) Payload[2681-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2317](+) polyA[169-None](+) Payload[2314-2865](+) Payload[5-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2166](+) polyA[68-None](+) Payload[2163-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-158](+) polyA[120-None](+) Payload[157-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P P	Payload[1-1345](+) Payload[1500-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-1174](+) polyC[81-None](+) Payload[1173-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-1164](+) polyC[67-None](+) Payload[1162-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-1145](+) polyC[57-None](+) Payload[1138-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[4-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[5-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[4-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[4-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[2-2865](+)
other	1.0	0	0.00010001000100010001	reverse_linear	False	False	True	P P P	Payload[1-2864](-) Payload[1-2864](-) Payload[1-2864](-)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[1-2864](+) Payload[1-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[1-2863](+) Payload[1-2865](+) Payload[1-2865](+)
other	0.5	0	5.000500050005001e-05	forward_linear	False	False	True	P P P	Payload[5-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	0.5	0	5.000500050005001e-05	reverse_linear	False	False	True	P P P	Payload[4-2864](-) Payload[1-2864](-) Payload[4-2864](-)
other	0.5	0	5.000500050005001e-05	forward_linear	False	False	True	P P P	Payload[5-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	0.5	0	5.000500050005001e-05	reverse_linear	False	False	True	P P P	Payload[4-2864](-) Payload[1-2864](-) Payload[1-2864](-)
other	0.5	0	5.000500050005001e-05	forward_linear	False	False	True	P P P	Payload[5-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	0.5	0	5.000500050005001e-05	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[5-2865](+) Payload[1-2865](+)
